,down,drive,pass att,pass yds,play,ptdiff,quarter,rush att,rush yds,team,togo,week,year
0,1,2,0,0,3,0,Q1,1,1,TEN,10,6,2009
1,2,2,0,0,4,0,Q1,1,0,TEN,9,6,2009
2,3,2,1,0,5,0,Q1,0,0,TEN,9,6,2009
3,1,3,0,0,8,0,Q1,1,12,NE,10,2,2009
4,1,3,1,3,9,0,Q1,0,0,NE,10,2,2009
5,2,3,1,19,11,0,Q1,0,0,NE,1,2,2009
6,1,3,0,0,12,0,Q1,1,-1,NE,10,2,2009
7,2,3,0,0,13,0,Q1,1,4,NE,11,2,2009
8,3,3,1,0,14,0,Q1,0,0,NE,7,2,2009
9,1,4,0,0,17,0,Q1,1,2,KC,10,16,2009
10,2,4,0,0,19,0,Q1,1,9,KC,13,16,2009
11,3,4,0,0,20,0,Q1,1,5,KC,4,16,2009
12,1,4,1,5,21,0,Q1,0,0,KC,10,16,2009
13,2,4,1,0,22,0,Q1,0,0,KC,5,16,2009
14,3,4,1,4,23,0,Q1,0,0,KC,5,16,2009
15,1,5,0,0,26,0,Q1,1,3,TB,10,2,2009
16,2,5,0,0,27,0,Q1,1,-5,TB,7,2,2009
17,3,5,1,0,28,0,Q1,0,0,TB,12,2,2009
18,1,6,0,0,31,0,Q1,1,-4,WAS,10,16,2009
19,2,6,1,16,32,0,Q1,0,0,WAS,14,16,2009
20,1,6,0,0,33,0,Q1,1,8,WAS,10,16,2009
21,2,6,0,0,34,0,Q1,1,-1,WAS,2,16,2009
22,3,6,1,0,35,0,Q1,0,0,WAS,3,16,2009
23,1,7,1,80,37,0,Q1,0,0,IND,10,2,2009
24,1,8,0,0,40,0,Q1,1,4,WAS,10,4,2009
25,1,10,0,0,45,0,Q1,1,1,ARI,10,2,2009
26,2,10,1,10,46,0,Q1,0,0,ARI,9,2,2009
27,1,10,1,14,47,0,Q1,0,0,ARI,10,2,2009
28,1,10,0,0,48,0,Q1,1,2,ARI,10,2,2009
29,2,10,1,6,49,0,Q1,0,0,ARI,8,2,2009
30,3,10,1,7,50,0,Q1,0,0,ARI,2,2,2009
31,1,10,0,0,51,0,Q1,1,0,ARI,10,2,2009
32,2,10,0,0,52,0,Q1,1,17,ARI,10,2,2009
33,1,10,0,0,54,0,Q1,1,9,ARI,10,2,2009
34,2,10,0,0,55,0,Q1,1,3,ARI,1,2,2009
35,1,10,0,0,56,0,Q1,1,1,ARI,1,2,2009
36,1,11,1,0,59,0,Q1,0,0,ATL,10,5,2009
37,2,11,0,0,60,0,Q1,1,6,ATL,10,5,2009
38,3,11,1,0,61,0,Q1,0,0,ATL,4,5,2009
39,1,12,0,0,64,0,Q1,1,2,WAS,10,12,2009
40,2,12,1,6,65,0,Q1,0,0,WAS,8,12,2009
41,3,12,1,10,66,0,Q1,0,0,WAS,2,12,2009
42,1,12,0,0,67,0,Q1,1,1,WAS,1,12,2009
43,1,13,1,29,70,0,Q1,0,0,IND,10,14,2009
44,1,13,0,0,71,0,Q1,1,1,IND,10,14,2009
45,2,13,1,7,72,0,Q1,0,0,IND,9,14,2009
46,3,13,1,3,73,0,Q1,0,0,IND,2,14,2009
47,1,13,1,10,74,0,Q1,0,0,IND,10,14,2009
48,1,13,1,6,75,0,Q1,0,0,IND,10,14,2009
49,2,13,1,7,76,0,Q1,0,0,IND,4,14,2009
50,1,13,0,0,77,0,Q1,1,3,IND,10,14,2009
51,2,13,1,0,78,0,Q1,0,0,IND,7,14,2009
52,3,13,1,9,79,0,Q1,0,0,IND,7,14,2009
53,1,13,0,0,80,0,Q1,1,0,IND,5,14,2009
54,2,13,1,0,81,0,Q1,0,0,IND,5,14,2009
55,3,13,1,5,82,0,Q1,0,0,IND,5,14,2009
56,1,14,1,6,85,0,Q1,0,0,ATL,10,7,2009
57,2,14,1,5,86,0,Q1,0,0,ATL,4,7,2009
