,Field Position,down,gsis_id,play_id,pos_team,punting_blk,punting_i20,punting_tot,punting_touchback,punting_yds,puntret_downed,puntret_fair,puntret_oob,puntret_tds,puntret_tot,puntret_touchback,puntret_yds,yardline,yards_to_go
0,OWN 34,4,2018123015,127,ARI,0,1,1,0,47,0,1,0,0,0,0,0,-16,1
1,OWN 20,4,2018123015,592,SEA,0,0,1,0,46,0,0,0,0,1,0,5,-30,14
2,OWN 45,4,2018123015,1397,ARI,0,1,1,0,42,0,1,0,0,0,0,0,-5,9
3,OWN 6,4,2018123015,1505,SEA,0,0,1,0,21,0,0,0,0,0,0,0,-44,17
4,OWN 12,4,2018123015,1714,SEA,0,0,1,0,54,0,0,0,0,1,0,45,-38,14
5,OWN 25,4,2018123015,1958,SEA,0,0,1,0,42,0,0,0,0,1,0,3,-25,10
6,OWN 31,4,2018123015,2277,SEA,0,1,1,0,44,0,0,0,0,1,0,-6,-19,4
7,OWN 27,4,2018123015,2395,ARI,0,0,1,0,50,0,1,0,0,0,0,0,-23,2
8,OWN 15,4,2018123015,2489,SEA,0,0,1,0,65,0,0,0,0,1,0,19,-35,18
9,OPP 48,4,2018123015,2651,ARI,0,1,1,0,46,0,0,0,0,0,0,0,2,13
10,OWN 38,4,2018123015,3109,ARI,0,0,1,1,62,0,0,0,0,0,0,0,-12,16
11,OWN 25,4,2018123015,3202,SEA,1,0,0,0,0,0,0,0,0,0,0,0,-25,5
12,OWN 42,4,2018123015,3444,SEA,0,0,1,1,58,0,0,0,0,0,0,0,-8,1
13,OWN 27,4,2018123014,883,LA,0,0,1,0,48,0,0,0,0,0,0,0,-23,3
14,OWN 49,4,2018123014,1328,LA,0,1,1,0,45,0,0,0,0,0,0,0,-1,10
15,OWN 34,4,2018123014,1602,SF,0,1,1,0,44,0,0,0,0,1,0,-5,-16,1
16,OWN 13,4,2018123014,3441,SF,0,0,1,0,55,0,0,0,0,1,0,16,-37,22
17,OWN 46,4,2018123014,4359,LA,0,1,1,0,37,0,0,0,0,0,0,0,-4,19
18,OWN 47,4,2018123013,342,DEN,0,0,1,1,53,0,0,0,0,0,0,0,-3,7
19,OPP 49,4,2018123013,502,LAC,0,0,1,1,49,0,0,0,0,0,0,0,1,8
20,OWN 24,4,2018123013,585,DEN,0,0,1,0,55,0,0,0,0,1,0,0,-26,6
21,OPP 38,4,2018123013,920,DEN,0,0,1,1,38,0,0,0,0,0,0,0,12,16
22,OWN 29,4,2018123013,1003,LAC,0,0,1,0,39,0,0,0,0,1,0,0,-21,1
23,OPP 44,4,2018123013,1221,DEN,0,1,1,0,33,0,1,0,0,0,0,0,6,6
24,OWN 44,4,2018123013,1360,LAC,0,0,1,1,56,0,0,0,0,0,0,0,-6,1
25,OPP 46,4,2018123013,2461,DEN,0,1,1,0,35,0,1,0,0,0,0,0,4,4
26,OWN 37,4,2018123013,2717,LAC,0,1,1,0,49,0,1,0,0,0,0,0,-13,8
27,OPP 47,4,2018123013,3144,DEN,0,1,1,0,38,0,0,0,0,0,0,0,3,9
28,OWN 18,4,2018123013,3260,LAC,0,0,1,0,41,0,0,0,0,1,0,3,-32,20
29,OWN 28,4,2018123012,422,WAS,0,1,1,0,56,0,1,0,0,0,0,0,-22,13
30,OWN 18,4,2018123012,516,PHI,0,0,1,0,45,0,0,0,0,1,0,9,-32,8
31,OWN 42,4,2018123012,608,WAS,0,0,1,0,39,0,0,0,0,1,0,2,-8,14
32,OWN 45,4,2018123012,1090,WAS,0,1,1,0,42,0,1,0,0,0,0,0,-5,8
33,OPP 45,4,2018123012,2104,PHI,0,1,1,0,36,0,1,0,0,0,0,0,5,6
34,OWN 16,4,2018123012,2211,WAS,0,0,1,0,52,0,0,0,0,0,0,0,-34,3
35,OWN 40,4,2018123012,2855,WAS,0,0,1,0,35,0,0,0,0,0,0,0,-10,10
36,OWN 23,4,2018123012,2939,PHI,0,0,1,0,42,0,0,0,0,1,0,11,-27,12
37,OPP 43,4,2018123011,135,TEN,0,1,1,0,35,0,1,0,0,0,0,0,7,5
38,OWN 32,4,2018123011,643,TEN,0,1,1,0,58,0,0,0,0,0,0,0,-18,13
39,OWN 38,4,2018123011,1277,TEN,0,1,1,0,56,0,0,0,0,0,0,0,-12,3
40,OWN 34,4,2018123011,1435,IND,0,1,1,0,57,0,0,0,0,1,0,0,-16,1
41,OPP 45,4,2018123011,1664,TEN,0,1,1,0,33,0,1,0,0,0,0,0,5,6
42,OWN 49,4,2018123011,2663,TEN,0,1,1,0,36,0,1,0,0,0,0,0,-1,5
43,OWN 23,4,2018123011,2749,IND,0,0,1,0,45,0,0,0,0,0,0,0,-27,2
44,OWN 39,4,2018123011,2834,TEN,0,1,1,0,54,0,0,0,0,1,0,0,-11,3
45,OWN 25,4,2018123011,3068,IND,0,0,1,0,40,0,0,0,0,1,0,10,-25,22
46,OWN 48,4,2018123011,3368,IND,0,1,1,0,49,0,0,0,0,0,0,0,-2,10
47,OWN 33,4,2018123010,125,TB,0,0,1,0,59,0,0,0,0,1,0,16,-17,5
48,MIDFIELD,4,2018123010,359,ATL,0,1,1,0,43,0,0,0,0,0,0,0,0,8
49,OWN 30,4,2018123010,823,ATL,0,0,1,0,49,0,1,0,0,0,0,0,-20,1
50,OWN 46,4,2018123010,1005,TB,0,1,1,0,41,0,1,0,0,0,0,0,-4,1
51,OWN 21,4,2018123010,1091,ATL,0,0,1,0,40,0,0,0,0,1,0,7,-29,2
52,OWN 34,4,2018123010,1497,ATL,0,1,1,0,56,0,0,0,0,1,0,2,-16,24
53,OWN 24,4,2018123010,1621,TB,0,0,1,0,58,0,0,0,0,1,0,12,-26,3
54,OWN 43,4,2018123010,1761,ATL,0,0,1,1,57,0,0,0,0,0,0,0,-7,8
55,OWN 31,4,2018123010,3345,TB,0,0,1,0,44,0,1,0,0,0,0,0,-19,4
56,MIDFIELD,4,2018123009,290,PIT,0,1,1,0,40,0,1,0,0,0,0,0,0,6
57,OWN 29,4,2018123009,390,CIN,0,0,1,0,50,0,1,0,0,0,0,0,-21,1
58,OWN 23,4,2018123009,483,PIT,0,0,1,0,48,0,0,0,0,0,0,0,-27,8
59,OWN 40,4,2018123009,756,CIN,0,1,1,0,52,0,0,0,0,1,0,10,-10,18
60,OPP 47,4,2018123009,1176,PIT,0,1,1,0,30,0,0,0,0,1,0,1,3,14
61,OWN 12,4,2018123009,1968,CIN,0,0,1,0,43,0,1,0,0,0,0,0,-38,15
62,OWN 49,4,2018123009,2071,PIT,0,1,1,0,37,0,0,0,0,0,0,0,-1,6
63,OWN 24,4,2018123009,2252,CIN,0,0,1,0,35,0,0,0,0,1,0,6,-26,21
64,OPP 48,4,2018123009,2354,PIT,0,1,1,0,34,0,1,0,0,0,0,0,2,5
65,OWN 28,4,2018123009,2477,CIN,0,0,1,0,50,0,0,0,0,1,0,4,-22,6
66,OWN 29,4,2018123009,2752,CIN,0,0,1,0,48,0,1,0,0,0,0,0,-21,2
67,OPP 47,4,2018123008,394,DAL,0,1,1,0,33,0,1,0,0,0,0,0,3,12
68,OWN 20,4,2018123008,951,NYG,0,0,1,0,45,0,1,0,0,0,0,0,-30,14
69,OWN 26,4,2018123008,1518,NYG,0,0,1,0,49,0,0,0,0,0,0,0,-24,9
70,OWN 19,4,2018123008,2319,DAL,0,0,1,0,45,0,0,0,0,1,0,19,-31,16
